week,instaLkeCountSum,instaCommentCountSum,instaLikeCountAvg,instaCommentCountAvg
2016-08-22/2016-08-28,28610,142,28610.0,142.0
2016-08-29/2016-09-04,84972,887,42486.0,443.5
2016-09-05/2016-09-11,38532,215,38532.0,215.0
2016-09-12/2016-09-18,41869,201,41869.0,201.0
2016-09-19/2016-09-25,55860,444,55860.0,444.0
2016-10-03/2016-10-09,49158,476,49158.0,476.0
2016-10-10/2016-10-16,77523,846,77523.0,846.0
2016-10-17/2016-10-23,90610,1221,45305.0,610.5
2016-10-24/2016-10-30,32306,694,32306.0,694.0
2016-10-31/2016-11-06,73400,978,73400.0,978.0
2016-11-07/2016-11-13,48104,237,48104.0,237.0
2016-11-14/2016-11-20,42443,672,42443.0,672.0
2016-11-21/2016-11-27,114806,2242,57403.0,1121.0
2016-12-05/2016-12-11,28342,588,28342.0,588.0
2016-12-12/2016-12-18,46823,393,46823.0,393.0
2016-12-26/2017-01-01,43799,469,43799.0,469.0
2017-01-30/2017-02-05,29935,395,29935.0,395.0
2017-02-13/2017-02-19,101552,1134,50776.0,567.0
2017-03-06/2017-03-12,42466,842,42466.0,842.0
2017-04-17/2017-04-23,85791,1063,85791.0,1063.0
2017-05-08/2017-05-14,56694,918,56694.0,918.0
2017-07-03/2017-07-09,219165,2383,109582.5,1191.5
2017-07-24/2017-07-30,705155,5701,78350.55555555556,633.4444444444445
2017-07-31/2017-08-06,132845,1463,132845.0,1463.0
2017-08-14/2017-08-20,84218,440,84218.0,440.0
2017-08-21/2017-08-27,73385,525,73385.0,525.0
2017-09-04/2017-09-10,64030,1634,64030.0,1634.0
2017-09-25/2017-10-01,76874,602,76874.0,602.0
2017-10-09/2017-10-15,48355,434,48355.0,434.0
2017-10-23/2017-10-29,110107,1402,110107.0,1402.0
2017-10-30/2017-11-05,65898,324,65898.0,324.0
2017-11-13/2017-11-19,1411169,16882,176396.125,2110.25
2017-12-18/2017-12-24,188302,1996,188302.0,1996.0
2018-01-01/2018-01-07,263493,5550,263493.0,5550.0
2018-02-05/2018-02-11,321476,5284,321476.0,5284.0
2018-02-26/2018-03-04,280055,2046,280055.0,2046.0
2018-03-19/2018-03-25,184168,2679,184168.0,2679.0
2018-04-16/2018-04-22,151333,1521,151333.0,1521.0
2018-04-30/2018-05-06,202664,1374,202664.0,1374.0
2018-05-07/2018-05-13,62992,543,62992.0,543.0
2018-05-14/2018-05-20,545854,7886,181951.33333333334,2628.6666666666665
2018-05-21/2018-05-27,314139,4396,314139.0,4396.0
2018-05-28/2018-06-03,106329,1304,106329.0,1304.0
2018-06-04/2018-06-10,590022,4584,196674.0,1528.0
2018-06-11/2018-06-17,85362,636,85362.0,636.0
2018-06-18/2018-06-24,258524,2742,129262.0,1371.0
2018-06-25/2018-07-01,113274,1007,113274.0,1007.0
2018-07-02/2018-07-08,335247,4228,111749.0,1409.3333333333333
2018-07-09/2018-07-15,208442,2166,208442.0,2166.0
2018-07-30/2018-08-05,248250,1484,124125.0,742.0
2018-08-06/2018-08-12,200050,2119,100025.0,1059.5
2018-08-20/2018-08-26,144684,1118,144684.0,1118.0
2018-08-27/2018-09-02,91585,842,91585.0,842.0
2018-09-10/2018-09-16,127156,694,127156.0,694.0
2018-09-17/2018-09-23,174047,1548,174047.0,1548.0
2018-09-24/2018-09-30,232248,2216,232248.0,2216.0
2018-10-01/2018-10-07,106998,704,106998.0,704.0
2018-10-08/2018-10-14,316779,3810,105593.0,1270.0
2018-10-15/2018-10-21,320941,4200,160470.5,2100.0
2018-10-22/2018-10-28,324879,3189,162439.5,1594.5
2018-10-29/2018-11-04,87322,944,87322.0,944.0
2018-11-05/2018-11-11,171537,2504,171537.0,2504.0
2018-11-12/2018-11-18,65109,1035,65109.0,1035.0
2018-11-19/2018-11-25,326935,1051,326935.0,1051.0
2018-11-26/2018-12-02,113747,1031,113747.0,1031.0
2018-12-03/2018-12-09,190927,2159,190927.0,2159.0
2018-12-10/2018-12-16,366059,2236,183029.5,1118.0
2018-12-24/2018-12-30,636275,4090,159068.75,1022.5
2018-12-31/2019-01-06,280341,1447,140170.5,723.5
2019-01-14/2019-01-20,556865,2923,185621.66666666666,974.3333333333334
2019-01-21/2019-01-27,457797,2886,114449.25,721.5
2019-01-28/2019-02-03,466585,4140,233292.5,2070.0
2019-02-04/2019-02-10,281289,2045,140644.5,1022.5
2019-02-11/2019-02-17,827257,9824,206814.25,2456.0
