week,instaLkeCountSum,instaCommentCountSum,instaLikeCountAvg,instaCommentCountAvg
2018-08-13/2018-08-19,366647,3193,61107.833333333336,532.1666666666666
2018-08-20/2018-08-26,170701,1620,56900.333333333336,540.0
2018-08-27/2018-09-02,284130,2068,56826.0,413.6
2018-09-03/2018-09-09,168815,1282,42203.75,320.5
2018-09-10/2018-09-16,249096,4001,83032.0,1333.6666666666667
2018-09-17/2018-09-23,216517,1784,108258.5,892.0
2018-09-24/2018-09-30,150014,1104,75007.0,552.0
2018-10-01/2018-10-07,173334,1715,86667.0,857.5
2018-10-08/2018-10-14,147554,781,73777.0,390.5
2018-10-15/2018-10-21,261892,2209,52378.4,441.8
2018-10-22/2018-10-28,298941,2399,59788.2,479.8
2018-10-29/2018-11-04,136211,923,45403.666666666664,307.6666666666667
2018-11-05/2018-11-11,58041,473,58041.0,473.0
2018-11-12/2018-11-18,306311,2940,61262.2,588.0
2018-11-19/2018-11-25,238267,3098,39711.166666666664,516.3333333333334
2018-11-26/2018-12-02,133698,1201,44566.0,400.3333333333333
2018-12-03/2018-12-09,597795,11295,119559.0,2259.0
2018-12-10/2018-12-16,186684,3451,62228.0,1150.3333333333333
2018-12-17/2018-12-23,198245,2102,39649.0,420.4
2018-12-24/2018-12-30,62009,686,31004.5,343.0
2018-12-31/2019-01-06,223202,2277,55800.5,569.25
2019-01-07/2019-01-13,87704,1262,43852.0,631.0
2019-01-14/2019-01-20,520313,6040,260156.5,3020.0
2019-01-21/2019-01-27,243796,2586,60949.0,646.5
2019-01-28/2019-02-03,118464,1227,59232.0,613.5
2019-02-04/2019-02-10,97699,1185,97699.0,1185.0
2019-02-11/2019-02-17,70593,1144,70593.0,1144.0
2019-02-25/2019-03-03,341557,5383,113852.33333333333,1794.3333333333333
2019-03-04/2019-03-10,217881,3660,72627.0,1220.0
2019-03-11/2019-03-17,78904,617,78904.0,617.0
2019-03-18/2019-03-24,50093,436,50093.0,436.0
2019-03-25/2019-03-31,139410,1124,46470.0,374.6666666666667
2019-04-01/2019-04-07,265362,2909,88454.0,969.6666666666666
2019-04-08/2019-04-14,37888,579,37888.0,579.0
2019-04-15/2019-04-21,81392,733,81392.0,733.0
2019-04-22/2019-04-28,248947,1926,82982.33333333333,642.0
2019-04-29/2019-05-05,94325,880,94325.0,880.0
2019-05-06/2019-05-12,55717,725,55717.0,725.0
2019-05-13/2019-05-19,117911,1379,117911.0,1379.0
2019-05-20/2019-05-26,214148,1631,107074.0,815.5
2019-05-27/2019-06-02,63246,727,63246.0,727.0
2019-06-03/2019-06-09,112651,1238,112651.0,1238.0
2019-06-10/2019-06-16,308816,2249,102938.66666666667,749.6666666666666
2019-06-17/2019-06-23,109692,1474,109692.0,1474.0
2019-06-24/2019-06-30,152411,2202,76205.5,1101.0
2019-07-01/2019-07-07,120419,1186,60209.5,593.0
2019-07-08/2019-07-14,227204,4231,75734.66666666667,1410.3333333333333
2019-07-15/2019-07-21,296805,2413,59361.0,482.6
2019-07-22/2019-07-28,169147,1315,56382.333333333336,438.3333333333333
2019-07-29/2019-08-04,178320,1928,89160.0,964.0
2019-08-05/2019-08-11,178402,1758,59467.333333333336,586.0
2019-08-12/2019-08-18,423936,3620,105984.0,905.0
2019-08-19/2019-08-25,414830,4724,138276.66666666666,1574.6666666666667
2019-08-26/2019-09-01,242578,1967,48515.6,393.4
2019-09-02/2019-09-08,295570,3570,73892.5,892.5
2019-09-09/2019-09-15,327494,5897,65498.8,1179.4
2019-09-16/2019-09-22,351466,3958,70293.2,791.6
2019-09-23/2019-09-29,444502,5541,74083.66666666667,923.5
2019-09-30/2019-10-06,141351,1244,47117.0,414.6666666666667
2019-10-07/2019-10-13,691342,7297,76815.77777777778,810.7777777777778
2019-10-14/2019-10-20,680030,4674,56669.166666666664,389.5
2019-10-21/2019-10-27,574585,4089,63842.77777777778,454.3333333333333
2019-10-28/2019-11-03,121640,657,30410.0,164.25
2019-11-04/2019-11-10,176832,1542,35366.4,308.4
2019-11-11/2019-11-17,176892,5643,88446.0,2821.5
2019-11-18/2019-11-24,365255,6340,73051.0,1268.0
2019-11-25/2019-12-01,299310,2753,49885.0,458.8333333333333
2019-12-02/2019-12-08,709300,8307,70930.0,830.7
2019-12-09/2019-12-15,163744,1487,40936.0,371.75
2019-12-16/2019-12-22,233087,1517,33298.142857142855,216.71428571428572
2019-12-23/2019-12-29,366654,3484,61109.0,580.6666666666666
2019-12-30/2020-01-05,202743,2973,101371.5,1486.5
2020-01-13/2020-01-19,25372,212,25372.0,212.0
2020-01-20/2020-01-26,60290,517,30145.0,258.5
2020-01-27/2020-02-02,607991,12040,101331.83333333333,2006.6666666666667
2020-02-03/2020-02-09,208160,2635,52040.0,658.75
2020-02-10/2020-02-16,77679,504,38839.5,252.0
