"view_count","reply_count","retweet_count","favorite_count","quote_count","created_at"
"397931","31","254","1529","28","2023-03-16T20:31:47.000Z"
"453003","50","594","4408","36","2023-03-16T18:00:01.000Z"
"451911","114","201","1308","99","2023-03-16T17:01:30.000Z"
"261794","12","38","449","1","2023-03-16T16:16:11.000Z"
"283786","9","76","783","13","2023-03-16T16:16:11.000Z"
"514928","43","222","2072","39","2023-03-16T16:16:09.000Z"
"1110745","384","1274","9519","679","2023-03-16T13:00:02.000Z"
"2350053","739","1403","8264","1015","2023-03-16T01:06:06.000Z"
"357488","69","250","2069","20","2023-03-15T19:01:03.000Z"
"389578","44","394","3184","22","2023-03-15T17:00:04.000Z"
"374216","14","56","654","5","2023-03-09T22:35:03.000Z"
"358928","37","196","1272","29","2023-03-14T18:01:20.000Z"
"419168","34","337","3017","31","2023-03-14T17:00:02.000Z"
"356920","40","82","908","8","2023-03-13T23:01:22.000Z"
"622202","82","1042","5808","66","2023-03-13T19:33:41.000Z"
"498588","38","301","2851","47","2023-03-13T22:00:03.000Z"
"710068","211","487","6309","69","2023-03-13T21:00:03.000Z"
"284828","31","141","1254","19","2023-02-28T21:00:00.000Z"
"659695","194","457","3724","91","2023-03-13T19:30:03.000Z"
"1239841","65","237","1594","33","2023-03-10T16:54:11.000Z"
"389839","48","379","2869","120","2023-03-09T15:04:00.000Z"
"342958","13","152","1217","11","2023-03-10T19:35:34.000Z"
"655454","96","424","4802","60","2023-03-10T19:10:43.000Z"
"371950","36","144","1570","14","2023-03-10T20:39:03.000Z"
"865255","163","586","6618","153","2023-03-10T20:39:02.000Z"
"248660","15","87","742","8","2023-03-10T19:00:02.000Z"
"539528","78","648","4700","32","2023-03-10T19:00:01.000Z"
"1101186","254","1684","11515","182","2023-03-10T18:00:03.000Z"
"2701302","604","6385","62438","1170","2023-03-10T15:40:11.000Z"
"1180750","242","4807","39881","273","2023-03-10T15:26:07.000Z"
"531605","86","496","4553","46","2023-03-10T15:45:07.000Z"
"427597","61","461","3547","47","2023-03-10T15:00:13.000Z"
"1345642","547","4877","22411","489","2023-03-10T13:00:14.000Z"
"444355","43","290","2069","49","2023-03-09T23:07:56.000Z"
"744612","225","852","6754","74","2023-03-09T22:12:33.000Z"
"829352","109","643","4907","79","2023-03-09T21:00:26.000Z"
"4111892","868","7210","35960","1687","2023-02-22T14:00:31.000Z"
"296862","27","225","1390","20","2023-03-09T19:00:34.000Z"
"238337","13","96","903","0","2023-03-09T17:30:01.000Z"
"766373","170","801","7930","119","2023-03-09T17:30:01.000Z"
"545709","125","1305","6361","107","2023-03-09T17:01:13.000Z"
"1323438","335","2190","13622","557","2023-03-09T01:00:02.000Z"
"484440","42","404","2300","84","2023-03-08T15:01:36.000Z"
"322184","58","276","2020","16","2023-03-08T14:02:39.000Z"
"507561","73","550","3189","103","2023-03-08T01:15:12.000Z"
"522946","131","452","3741","53","2023-03-07T22:00:58.000Z"
"3384213","814","4379","30061","998","2023-03-07T19:00:23.000Z"
"513883","101","593","4456","55","2023-03-07T21:00:02.000Z"
"286404","36","148","844","13","2023-03-07T19:00:44.000Z"
"474782","68","239","2641","63","2023-03-07T18:00:03.000Z"
"309453","33","181","1576","33","2023-03-07T00:16:17.000Z"
"973571","387","626","6032","213","2023-03-06T18:01:58.000Z"
"1122644","275","1386","15408","260","2023-03-06T21:02:34.000Z"
"1006936","159","798","6869","174","2023-03-06T20:00:48.000Z"
"598439","68","402","3556","44","2023-03-05T18:31:18.000Z"
"774813","116","656","5687","71","2023-03-05T18:00:48.000Z"
"411681","28","232","1719","15","2023-03-04T18:00:39.000Z"
"493103","96","328","3201","54","2023-03-03T21:00:13.000Z"
"594436","103","645","4398","180","2023-03-03T19:30:05.000Z"
"2055601","812","2974","21981","1384","2023-03-03T18:00:33.000Z"
"272902","27","170","1351","15","2023-03-03T17:00:45.000Z"
"517200","119","656","4705","71","2023-03-03T16:00:50.000Z"
"391652","70","199","1512","44","2023-03-03T14:00:38.000Z"
"2919318","789","4575","21331","2258","2023-03-03T01:01:29.000Z"
"1295897","422","1167","11454","288","2023-03-02T21:37:24.000Z"
"1114215","404","1351","14568","251","2023-03-02T19:00:05.000Z"
"269216","28","176","1294","33","2023-03-02T17:30:00.000Z"
"308402","35","232","1458","12","2023-03-02T17:01:19.000Z"
"2655114","900","4121","19980","2478","2023-03-02T14:01:46.000Z"
"480103","72","216","2465","48","2023-03-01T18:00:02.000Z"
"575636","89","303","2398","73","2023-02-28T20:59:11.000Z"
"430382","80","226","1977","22","2023-02-28T21:00:33.000Z"
"994006","383","977","11422","237","2023-02-28T20:03:39.000Z"
"258692","45","67","610","1","2023-02-28T18:00:10.000Z"
"688151","206","356","3782","91","2023-02-28T18:00:09.000Z"
"500761","137","436","3592","66","2023-02-28T14:00:43.000Z"
"392969","39","356","1988","79","2023-02-28T01:00:57.000Z"
