"view_count","reply_count","retweet_count","favorite_count","quote_count","created_at"
"11891864","2785","5026","33312","206","2023-04-02T19:07:51.000Z"
"6223611","2732","2245","38096","168","2023-04-02T09:22:23.000Z"
"14003846","6502","7879","116689","521","2023-04-02T06:40:37.000Z"
"7812592","3860","7871","79982","652","2023-04-02T05:44:40.000Z"
"21689089","11949","29199","237709","2332","2023-04-02T05:16:04.000Z"
"8733447","2519","3068","41600","182","2023-04-02T05:01:40.000Z"
"46178091","23090","23052","510732","3110","2023-04-01T19:16:11.000Z"
"64235599","22598","14272","204220","1933","2023-04-01T16:53:08.000Z"
"5804635","1704","1929","18957","178","2023-04-01T08:42:39.000Z"
"18608678","5856","6422","82385","666","2023-04-01T04:48:55.000Z"
"32448512","29361","31275","276402","4056","2023-04-01T03:10:07.000Z"
"13538521","8054","10761","103669","1326","2023-03-31T20:52:13.000Z"
"12899857","3564","7023","47515","570","2023-03-31T19:09:38.000Z"
"22845451","5086","20929","125047","3609","2023-03-31T18:55:30.000Z"
"20569346","3527","9048","67100","661","2023-03-31T18:46:19.000Z"
"13378805","20082","4428","137530","802","2023-03-31T17:53:33.000Z"
"76605783","51066","42961","938796","10800","2023-03-31T17:41:47.000Z"
"8842617","1203","2049","17035","324","2023-03-30T18:57:30.000Z"
"7735870","3380","3079","52507","256","2023-03-31T07:59:41.000Z"
"62828061","8818","18011","215917","3232","2023-03-31T05:56:45.000Z"
"119691249","33605","92738","595068","20179","2023-03-31T05:45:41.000Z"
"79612625","5767","8022","94043","1129","2023-03-31T02:36:34.000Z"
"57583330","17126","23468","227311","2945","2023-03-30T06:37:44.000Z"
"6784569","1367","3842","31228","266","2023-03-29T20:10:36.000Z"
"6386547","915","3559","30200","172","2023-03-29T20:01:51.000Z"
"5668570","604","2505","14317","305","2023-03-29T22:34:24.000Z"
"27697122","13204","8688","113121","3628","2023-03-28T19:38:23.000Z"
"28493885","7611","13290","172154","1831","2023-03-28T06:53:23.000Z"
"18726081","8207","6400","86123","824","2023-03-28T04:11:53.000Z"
"40699940","15365","30032","368889","2645","2023-03-28T03:22:28.000Z"
"10073936","4590","2241","32702","1961","2023-03-28T01:55:02.000Z"
"122701219","55782","23573","212642","72834","2023-03-27T23:54:57.000Z"
"30963774","10580","20424","292577","1379","2023-03-27T18:12:29.000Z"
"17807484","9775","5398","42815","1224","2023-03-27T10:59:56.000Z"
"32437217","13204","11067","115776","2193","2023-03-27T03:48:31.000Z"
"36935567","12391","9446","99977","2106","2023-03-27T03:05:24.000Z"
"25042871","5580","10663","61951","601","2023-03-27T01:57:41.000Z"
"64894083","12961","33003","465924","3524","2023-03-27T01:54:37.000Z"
"37063732","6623","9824","123811","536","2023-03-25T20:53:43.000Z"
"28175698","6245","7712","86255","535","2023-03-24T22:38:20.000Z"
"6864557","1479","4105","37951","303","2023-03-24T15:52:16.000Z"
"6130537","1002","3528","31190","152","2023-03-24T15:43:59.000Z"
"30440868","10356","9194","128669","936","2023-03-24T22:16:08.000Z"
"44866699","18026","31631","317472","2706","2023-03-24T09:38:38.000Z"
"17598968","10074","5599","44583","1007","2023-03-24T07:37:52.000Z"
"18382312","2635","3216","26076","364","2023-03-24T07:01:55.000Z"
"12015964","2980","2787","38369","251","2023-03-24T06:55:12.000Z"
"33309646","10874","17303","147231","1718","2023-03-24T05:34:31.000Z"
"19482145","6104","8334","94487","780","2023-03-24T05:27:17.000Z"
"25029603","7250","7220","53255","846","2023-03-23T21:31:38.000Z"
"7088273","2094","3194","22828","382","2023-03-23T00:03:47.000Z"
"6158564","4715","3340","41694","243","2023-03-22T03:28:10.000Z"
"20661271","8117","9617","88269","843","2023-03-22T03:24:26.000Z"
"6629585","1948","2787","17984","498","2023-03-21T19:06:15.000Z"
"12251801","3311","2990","24832","200","2023-03-21T01:41:10.000Z"
"10035455","2930","6145","42203","602","2023-03-20T22:22:03.000Z"
"5999256","1507","1849","22905","142","2023-03-20T17:44:47.000Z"
"44206307","11634","26067","214947","2320","2023-03-20T17:44:16.000Z"
"37750778","10320","18662","236046","1383","2023-03-19T22:11:07.000Z"
"6108905","2702","2049","38542","195","2023-03-19T18:03:13.000Z"
"42396152","18922","24363","282669","4577","2023-03-19T17:50:41.000Z"
"28925173","9796","7200","89161","2270","2023-03-19T11:48:18.000Z"
"30746201","5246","15829","203370","1439","2023-03-19T10:23:24.000Z"
"85309360","25668","59238","688947","7427","2023-03-19T10:19:02.000Z"
"20172313","6905","4109","52740","706","2023-03-19T05:55:01.000Z"
"43198608","9593","33277","400803","2204","2023-03-19T03:23:38.000Z"
"29599032","17123","23313","244440","2272","2023-03-18T23:31:48.000Z"
"63763111","23012","84388","600588","5175","2023-03-18T21:56:33.000Z"
"32650305","18014","16445","140069","4425","2023-03-18T21:04:43.000Z"
"31676378","6478","33827","110647","1192","2023-03-18T11:25:45.000Z"
"5402616","1109","2438","22626","195","2023-03-18T10:35:44.000Z"
"32020490","13130","22299","182050","3062","2023-03-18T10:34:40.000Z"
"26610982","6425","10806","133114","1210","2023-03-18T06:36:52.000Z"
"18556933","4773","8395","74679","1063","2023-03-18T02:36:46.000Z"
"23222504","3982","4794","55758","370","2023-03-18T01:35:38.000Z"
"28714279","15338","24444","169571","3338","2023-03-18T01:14:41.000Z"
"14936755","3059","5782","77949","375","2023-03-18T00:46:33.000Z"
"35171985","7987","25451","316349","1781","2023-03-18T00:38:32.000Z"
"45472474","8971","9424","270943","1483","2023-03-18T00:37:19.000Z"
"33115018","6670","45269","349808","1746","2023-03-17T22:05:29.000Z"
"4715011","2042","2645","39367","138","2023-03-17T22:00:05.000Z"
"22738371","8800","14183","100602","1536","2023-03-17T21:58:02.000Z"
"10120332","4855","7868","93751","1262","2023-03-17T21:16:06.000Z"
"29659922","6228","17536","151319","3277","2023-03-17T21:01:39.000Z"
"29149844","10448","12882","193677","1105","2023-03-16T22:51:22.000Z"
"19618234","9645","12293","124422","1729","2023-03-16T19:55:48.000Z"
"18870357","7843","19207","163557","1178","2023-03-16T19:52:33.000Z"
"36880685","24093","61664","379109","5159","2023-03-16T19:46:44.000Z"
"18768326","9404","12004","117975","1331","2023-03-16T19:41:37.000Z"
"7511022","2651","4475","60375","461","2023-03-16T19:15:52.000Z"
"5184015","2786","1345","25782","200","2023-03-16T17:50:09.000Z"
"35002180","17043","19372","165588","3866","2023-03-16T17:10:48.000Z"
"31378502","15598","9646","145029","2518","2023-03-16T16:44:11.000Z"
"27427452","16198","8010","112753","1664","2023-03-16T07:12:32.000Z"
"14594648","3373","2517","35043","286","2023-03-16T06:28:48.000Z"
"20271620","8164","11955","72096","1245","2023-03-16T00:29:27.000Z"
"22878500","5583","8459","73636","590","2023-03-15T19:29:12.000Z"
"34623894","14207","36560","431828","3008","2023-03-15T06:09:22.000Z"
"22743325","6879","19461","150888","1401","2023-03-15T05:24:26.000Z"
"18673713","7010","9845","101486","1050","2023-03-15T03:46:49.000Z"
"5400686","1017","3808","32598","150","2023-03-15T02:13:59.000Z"
"4687489","753","2131","19577","109","2023-03-15T00:43:49.000Z"
"36752306","13751","35341","171675","2313","2023-03-14T17:48:26.000Z"
"29804246","15239","14851","117725","1662","2023-03-14T17:09:31.000Z"
"58350521","8061","10378","80647","839","2023-03-14T05:17:16.000Z"
"10256469","1513","2069","19420","143","2023-03-13T17:54:20.000Z"
"26915384","7885","8308","106552","477","2023-03-12T03:02:47.000Z"
"6061045","1117","3039","19085","144","2023-03-12T00:58:05.000Z"
"24734327","8946","8736","91551","1172","2023-03-12T01:08:56.000Z"
"18840234","9774","7530","74937","1065","2023-03-11T11:46:47.000Z"
"6131320","1258","3124","25304","187","2023-03-11T07:49:09.000Z"
"4956015","877","2404","21118","120","2023-03-11T05:41:53.000Z"
"28699595","9652","15252","248174","1318","2023-03-11T05:07:57.000Z"
"52969809","28066","52325","439399","5377","2023-03-11T00:02:06.000Z"
"69983273","27375","90133","377575","4752","2023-03-10T23:31:04.000Z"
"50997456","22048","87102","326611","5591","2023-03-10T23:18:05.000Z"
"28113790","11215","6769","77327","1500","2023-03-10T00:16:05.000Z"
"18039379","6363","7731","116232","646","2023-03-09T22:52:24.000Z"
"6115000","975","3481","32751","150","2023-03-09T21:21:36.000Z"
"34700644","9940","32315","141652","1252","2023-03-09T17:04:16.000Z"
"19864674","5138","4532","93009","391","2023-03-09T09:50:55.000Z"
"42045549","16437","28025","368742","3257","2023-03-08T22:37:43.000Z"
"50578539","22624","26313","360684","3688","2023-03-08T21:56:55.000Z"
"7168339","4555","6026","44671","607","2023-03-08T00:16:28.000Z"
"5582291","1302","2143","18571","149","2023-03-07T20:04:16.000Z"
"17899883","3812","3322","29679","302","2023-03-07T18:49:05.000Z"
"10048480","3198","13029","52788","790","2023-03-07T01:22:17.000Z"
"11144591","3072","21370","69896","985","2023-03-07T11:58:26.000Z"
"189","0","73913","0","0","2023-03-07T07:41:56.000Z"
"31935252","9427","13786","195517","1321","2023-03-07T00:55:32.000Z"
"29587761","9388","16503","132811","1663","2023-03-07T00:51:15.000Z"
"20123345","5866","5151","49310","727","2023-03-07T00:25:41.000Z"
"22632365","5457","6961","61749","870","2023-03-06T22:08:42.000Z"
"7419572","4515","3978","69003","328","2023-03-06T09:59:54.000Z"
"35834930","14012","15595","137034","1795","2023-03-06T09:57:26.000Z"
"70522957","26663","43870","492340","7360","2023-03-06T02:49:29.000Z"
"18738005","4124","3255","24214","350","2023-03-05T23:32:11.000Z"
