week,twitterViewCountSum,twitterReplyCountSum,twitterRetweetCountSum,twitterLikeCountSum,twitterQuoteCountSum,twitterViewCountMean,twitterReplyCountMean,twitterRetweetCountMean,twitterLikeCountMean,twitterQuoteCountMean,instaLkeCountSum,instaCommentCountSum,instaLikeCountAvg,instaCommentCountAvg,ttLikeCountSum,ttPlayCountSum,ttShareCountSum,ttCommentCountSum,ttLikeCountAvg,ttPlayCountAvg,ttShareCountAvg,ttCommentCountAvg,highChange (above 6% change),aboveAvgVol
2022-12-19/2022-12-25,462216.0,61,267,2300,12,33015.42857142857,4.357142857142857,19.071428571428573,164.28571428571428,0.8571428571428571,631335,2455,45095.357142857145,175.35714285714286,329600,2685600,971,576,164800.0,1342800.0,485.5,288.0,1,1
2022-12-26/2023-01-01,769391.0,91,600,3554,127,64115.916666666664,7.583333333333333,50.0,296.1666666666667,10.583333333333334,345173,1761,24655.214285714286,125.78571428571429,319639,2267500,3065,5682,159819.5,1133750.0,1532.5,2841.0,1,1
2023-01-02/2023-01-08,750291.0,56,710,8218,28,68208.27272727272,5.090909090909091,64.54545454545455,747.0909090909091,2.5454545454545454,588183,1964,53471.181818181816,178.54545454545453,919000,11100000,20447,8847,459500.0,5550000.0,10223.5,4423.5,0,1
2023-01-09/2023-01-15,294097.0,28,151,1871,7,24508.083333333332,2.3333333333333335,12.583333333333334,155.91666666666666,0.5833333333333334,239317,1027,23931.7,102.7,86727,1152800,604,693,43363.5,576400.0,302.0,346.5,0,1
2023-01-16/2023-01-22,368330.0,41,150,1631,3,30694.166666666668,3.4166666666666665,12.5,135.91666666666666,0.25,204047,1053,17003.916666666668,87.75,19400,218200,1265,186,19400.0,218200.0,1265.0,186.0,0,1
2023-01-23/2023-01-29,325060.0,50,130,1566,8,25004.615384615383,3.8461538461538463,10.0,120.46153846153847,0.6153846153846154,193462,1310,17587.454545454544,119.0909090909091,23135,198300,167,147,11567.5,99150.0,83.5,73.5,1,1
2023-01-30/2023-02-05,410943.0,46,203,2413,9,24173.117647058825,2.7058823529411766,11.941176470588236,141.94117647058823,0.5294117647058824,353194,1290,25228.14285714286,92.14285714285714,36900,548100,49,400,36900.0,548100.0,49.0,400.0,1,1
2023-02-06/2023-02-12,429486.0,45,161,2003,7,39044.181818181816,4.090909090909091,14.636363636363637,182.0909090909091,0.6363636363636364,556719,2406,46393.25,200.5,48400,394500,58,280,48400.0,394500.0,58.0,280.0,0,1
2023-02-13/2023-02-19,539014.0,38,222,2605,10,44917.833333333336,3.1666666666666665,18.5,217.08333333333334,0.8333333333333334,165816,2759,13818.0,229.91666666666666,18256,212600,24,184,4564.0,53150.0,6.0,46.0,1,1
2023-02-20/2023-02-26,591177.0,35,307,3413,15,39411.8,2.3333333333333335,20.466666666666665,227.53333333333333,1.0,209724,1000,16132.615384615385,76.92307692307692,1818,28900,16,54,1818.0,28900.0,16.0,54.0,0,1
